vqa, target num:0, total attack num:5,best loss: 0.00014328956604003906
vqa_specific, target num:0, total attack num:5,best loss: 0.00014328956604003906
cls, target num:0, total attack num:15,best loss: 0.00014328956604003906
cap, target num:0, total attack num:14,best loss: 0.00014328956604003906
vqa, target num:0, total attack num:1,best loss: 6.937980651855469e-05
vqa_specific, target num:0, total attack num:8,best loss: 6.937980651855469e-05
cls, target num:0, total attack num:9,best loss: 6.937980651855469e-05
cap, target num:0, total attack num:11,best loss: 6.937980651855469e-05
vqa, target num:0, total attack num:2,best loss: 3.0159950256347656e-05
vqa_specific, target num:0, total attack num:2,best loss: 3.0159950256347656e-05
cls, target num:0, total attack num:14,best loss: 3.0159950256347656e-05
cap, target num:0, total attack num:11,best loss: 3.0159950256347656e-05
vqa, target num:0, total attack num:4,best loss: 5.1140785217285156e-05
vqa_specific, target num:0, total attack num:7,best loss: 5.1140785217285156e-05
cls, target num:0, total attack num:11,best loss: 5.1140785217285156e-05
cap, target num:0, total attack num:12,best loss: 5.1140785217285156e-05
vqa, target num:0, total attack num:3,best loss: 1.7881393432617188e-05
vqa_specific, target num:0, total attack num:4,best loss: 1.7881393432617188e-05
cls, target num:0, total attack num:16,best loss: 1.7881393432617188e-05
cap, target num:0, total attack num:12,best loss: 1.7881393432617188e-05
vqa, target num:0, total attack num:2,best loss: 6.306171417236328e-05
vqa_specific, target num:0, total attack num:4,best loss: 6.306171417236328e-05
cls, target num:0, total attack num:15,best loss: 6.306171417236328e-05
cap, target num:0, total attack num:12,best loss: 6.306171417236328e-05
vqa, target num:0, total attack num:5,best loss: 0.00012695789337158203
vqa_specific, target num:0, total attack num:1,best loss: 0.00012695789337158203
cls, target num:0, total attack num:14,best loss: 0.00012695789337158203
cap, target num:0, total attack num:13,best loss: 0.00012695789337158203
vqa, target num:0, total attack num:4,best loss: 5.030632019042969e-05
vqa_specific, target num:0, total attack num:9,best loss: 5.030632019042969e-05
cls, target num:0, total attack num:15,best loss: 5.030632019042969e-05
cap, target num:0, total attack num:12,best loss: 5.030632019042969e-05
vqa, target num:0, total attack num:3,best loss: 0.00014960765838623047
vqa_specific, target num:0, total attack num:3,best loss: 0.00014960765838623047
cls, target num:0, total attack num:13,best loss: 0.00014960765838623047
cap, target num:0, total attack num:10,best loss: 0.00014960765838623047
vqa, target num:0, total attack num:0,best loss: 0.0001131296157836914
vqa_specific, target num:0, total attack num:6,best loss: 0.0001131296157836914
cls, target num:0, total attack num:12,best loss: 0.0001131296157836914
cap, target num:0, total attack num:12,best loss: 0.0001131296157836914
vqa, target num:0, total attack num:2,best loss: 6.830692291259766e-05
vqa_specific, target num:0, total attack num:6,best loss: 6.830692291259766e-05
cls, target num:0, total attack num:13,best loss: 6.830692291259766e-05
cap, target num:0, total attack num:16,best loss: 6.830692291259766e-05
vqa, target num:0, total attack num:5,best loss: 0.00012290477752685547
vqa_specific, target num:0, total attack num:5,best loss: 0.00012290477752685547
cls, target num:0, total attack num:11,best loss: 0.00012290477752685547
cap, target num:0, total attack num:14,best loss: 0.00012290477752685547
vqa, target num:0, total attack num:4,best loss: 5.137920379638672e-05
vqa_specific, target num:0, total attack num:5,best loss: 5.137920379638672e-05
cls, target num:0, total attack num:10,best loss: 5.137920379638672e-05
cap, target num:0, total attack num:10,best loss: 5.137920379638672e-05
vqa, target num:0, total attack num:4,best loss: 0.00010478496551513672
vqa_specific, target num:0, total attack num:0,best loss: 0.00010478496551513672
cls, target num:0, total attack num:8,best loss: 0.00010478496551513672
cap, target num:0, total attack num:13,best loss: 0.00010478496551513672
vqa, target num:0, total attack num:3,best loss: 2.3365020751953125e-05
vqa_specific, target num:0, total attack num:5,best loss: 2.3365020751953125e-05
cls, target num:0, total attack num:14,best loss: 2.3365020751953125e-05
cap, target num:0, total attack num:9,best loss: 2.3365020751953125e-05
vqa, target num:0, total attack num:5,best loss: 8.320808410644531e-05
vqa_specific, target num:0, total attack num:4,best loss: 8.320808410644531e-05
cls, target num:0, total attack num:16,best loss: 8.320808410644531e-05
cap, target num:0, total attack num:13,best loss: 8.320808410644531e-05
vqa, target num:0, total attack num:3,best loss: 4.2438507080078125e-05
vqa_specific, target num:0, total attack num:3,best loss: 4.2438507080078125e-05
cls, target num:0, total attack num:10,best loss: 4.2438507080078125e-05
cap, target num:0, total attack num:10,best loss: 4.2438507080078125e-05
vqa, target num:0, total attack num:4,best loss: 0.00026488304138183594
vqa_specific, target num:0, total attack num:6,best loss: 0.00026488304138183594
cls, target num:0, total attack num:14,best loss: 0.00026488304138183594
cap, target num:0, total attack num:11,best loss: 0.00026488304138183594
vqa, target num:0, total attack num:1,best loss: 3.790855407714844e-05
vqa_specific, target num:0, total attack num:5,best loss: 3.790855407714844e-05
cls, target num:0, total attack num:9,best loss: 3.790855407714844e-05
cap, target num:0, total attack num:12,best loss: 3.790855407714844e-05
vqa, target num:0, total attack num:6,best loss: 0.00014066696166992188
vqa_specific, target num:0, total attack num:4,best loss: 0.00014066696166992188
cls, target num:0, total attack num:11,best loss: 0.00014066696166992188
cap, target num:0, total attack num:13,best loss: 0.00014066696166992188
vqa, target num:0, total attack num:6,best loss: 0.00025653839111328125
vqa_specific, target num:0, total attack num:4,best loss: 0.00025653839111328125
cls, target num:0, total attack num:7,best loss: 0.00025653839111328125
cap, target num:0, total attack num:8,best loss: 0.00025653839111328125
vqa, target num:0, total attack num:5,best loss: 3.8623809814453125e-05
vqa_specific, target num:0, total attack num:9,best loss: 3.8623809814453125e-05
cls, target num:0, total attack num:8,best loss: 3.8623809814453125e-05
cap, target num:0, total attack num:11,best loss: 3.8623809814453125e-05
vqa, target num:0, total attack num:6,best loss: 3.743171691894531e-05
vqa_specific, target num:0, total attack num:2,best loss: 3.743171691894531e-05
cls, target num:0, total attack num:17,best loss: 3.743171691894531e-05
cap, target num:0, total attack num:14,best loss: 3.743171691894531e-05
vqa, target num:0, total attack num:1,best loss: 4.208087921142578e-05
vqa_specific, target num:0, total attack num:4,best loss: 4.208087921142578e-05
cls, target num:0, total attack num:7,best loss: 4.208087921142578e-05
cap, target num:0, total attack num:6,best loss: 4.208087921142578e-05
vqa, target num:0, total attack num:5,best loss: 8.988380432128906e-05
vqa_specific, target num:0, total attack num:7,best loss: 8.988380432128906e-05
cls, target num:0, total attack num:11,best loss: 8.988380432128906e-05
cap, target num:0, total attack num:10,best loss: 8.988380432128906e-05
