    vqa,vqa_sp,cls,cap
600,0.2960,0.4760,0.1500,0.8500
700,0.4380,0.5680,0.3500,1.0000
800,0.3720,0.5400,0.2000,0.9000
900,0.3820,0.5400,0.3000,1.0000
1000,0.4240,0.5540,0.2500,0.4000
1100,0.5640,0.6700,0.2500,0.5500
1200,0.4060,0.5700,0.5500,0.7000
1300,0.2660,0.4480,0.5000,0.2500
1400,0.4380,0.5880,0.5500,0.1500
1500,0.6560,0.7160,0.5000,0.9500
1600,0.3140,0.5380,0.1500,0.5000
1700,0.4000,0.5760,0.4500,0.3000
