    vqa,vqa_sp,cls,cap
600,0.0000,0.0000,0.0000,0.0000
700,0.0000,0.0000,0.0000,0.0000
800,0.0000,0.0000,0.0000,0.0000
900,0.0000,0.0000,0.0000,0.0000
1000,0.0000,0.0000,0.0000,0.0000
1100,0.0000,0.0020,0.0000,0.0000
1200,0.0000,0.0000,0.0000,0.0000
1300,0.0000,0.0000,0.0000,0.0000
1400,0.0000,0.0000,0.0000,0.0000
1500,0.0600,0.3300,0.0000,0.0000
1600,0.0000,0.0000,0.0000,0.0000
1700,0.0080,0.0440,0.0000,0.0000
