    vqa,vqa_sp,cls,cap
600,0.0000,0.0000,0.0000,0.0000
700,0.0000,0.0000,0.0000,0.0000
800,0.0000,0.0000,0.0000,0.0000
900,0.0000,0.0000,0.0000,0.0000
1000,0.0000,0.0000,0.0000,0.0000
1100,0.0000,0.0000,0.0000,0.0000
1200,0.0000,0.0000,0.0000,0.0000
1300,0.0180,0.1180,0.0000,0.0000
1400,0.0060,0.0040,0.0000,0.0000
1500,0.0000,0.0000,0.0000,0.0000
1600,0.0000,0.0000,0.1000,0.0000
1700,0.0000,0.0000,0.0000,0.0000
