vqa, target num:0, total attack num:0,best loss: 5.936622619628906e-05
vqa_specific, target num:0, total attack num:7,best loss: 5.936622619628906e-05
cls, target num:0, total attack num:10,best loss: 5.936622619628906e-05
cap, target num:0, total attack num:15,best loss: 5.936622619628906e-05
vqa, target num:0, total attack num:5,best loss: 3.0875205993652344e-05
vqa_specific, target num:0, total attack num:4,best loss: 3.0875205993652344e-05
cls, target num:0, total attack num:10,best loss: 3.0875205993652344e-05
cap, target num:0, total attack num:11,best loss: 3.0875205993652344e-05
vqa, target num:0, total attack num:4,best loss: 4.887580871582031e-05
vqa_specific, target num:0, total attack num:7,best loss: 4.887580871582031e-05
cls, target num:0, total attack num:13,best loss: 4.887580871582031e-05
cap, target num:0, total attack num:14,best loss: 4.887580871582031e-05
vqa, target num:0, total attack num:3,best loss: 0.001346588134765625
vqa_specific, target num:0, total attack num:6,best loss: 0.001346588134765625
cls, target num:0, total attack num:15,best loss: 0.001346588134765625
cap, target num:0, total attack num:14,best loss: 0.001346588134765625
vqa, target num:0, total attack num:5,best loss: 3.552436828613281e-05
vqa_specific, target num:0, total attack num:2,best loss: 3.552436828613281e-05
cls, target num:0, total attack num:12,best loss: 3.552436828613281e-05
cap, target num:0, total attack num:9,best loss: 3.552436828613281e-05
vqa, target num:0, total attack num:0,best loss: 5.4001808166503906e-05
vqa_specific, target num:0, total attack num:6,best loss: 5.4001808166503906e-05
cls, target num:0, total attack num:13,best loss: 5.4001808166503906e-05
cap, target num:0, total attack num:8,best loss: 5.4001808166503906e-05
vqa, target num:0, total attack num:3,best loss: 1.537799835205078e-05
vqa_specific, target num:0, total attack num:4,best loss: 1.537799835205078e-05
cls, target num:0, total attack num:16,best loss: 1.537799835205078e-05
cap, target num:0, total attack num:15,best loss: 1.537799835205078e-05
vqa, target num:0, total attack num:5,best loss: 5.1975250244140625e-05
vqa_specific, target num:0, total attack num:7,best loss: 5.1975250244140625e-05
cls, target num:0, total attack num:10,best loss: 5.1975250244140625e-05
cap, target num:0, total attack num:11,best loss: 5.1975250244140625e-05
vqa, target num:0, total attack num:2,best loss: 6.830692291259766e-05
vqa_specific, target num:0, total attack num:3,best loss: 6.830692291259766e-05
cls, target num:0, total attack num:12,best loss: 6.830692291259766e-05
cap, target num:0, total attack num:9,best loss: 6.830692291259766e-05
vqa, target num:0, total attack num:5,best loss: 2.193450927734375e-05
vqa_specific, target num:0, total attack num:5,best loss: 2.193450927734375e-05
cls, target num:0, total attack num:11,best loss: 2.193450927734375e-05
cap, target num:0, total attack num:10,best loss: 2.193450927734375e-05
vqa, target num:0, total attack num:2,best loss: 3.075599670410156e-05
vqa_specific, target num:0, total attack num:7,best loss: 3.075599670410156e-05
cls, target num:0, total attack num:14,best loss: 3.075599670410156e-05
cap, target num:0, total attack num:14,best loss: 3.075599670410156e-05
vqa, target num:0, total attack num:2,best loss: 1.5974044799804688e-05
vqa_specific, target num:0, total attack num:7,best loss: 1.5974044799804688e-05
cls, target num:0, total attack num:11,best loss: 1.5974044799804688e-05
cap, target num:0, total attack num:14,best loss: 1.5974044799804688e-05
vqa, target num:0, total attack num:6,best loss: 2.5391578674316406e-05
vqa_specific, target num:0, total attack num:6,best loss: 2.5391578674316406e-05
cls, target num:0, total attack num:15,best loss: 2.5391578674316406e-05
cap, target num:0, total attack num:13,best loss: 2.5391578674316406e-05
vqa, target num:0, total attack num:5,best loss: 8.440017700195312e-05
vqa_specific, target num:0, total attack num:5,best loss: 8.440017700195312e-05
cls, target num:0, total attack num:15,best loss: 8.440017700195312e-05
cap, target num:0, total attack num:14,best loss: 8.440017700195312e-05
vqa, target num:0, total attack num:2,best loss: 0.0004162788391113281
vqa_specific, target num:0, total attack num:2,best loss: 0.0004162788391113281
cls, target num:0, total attack num:10,best loss: 0.0004162788391113281
cap, target num:0, total attack num:10,best loss: 0.0004162788391113281
vqa, target num:0, total attack num:1,best loss: 1.5735626220703125e-05
vqa_specific, target num:0, total attack num:5,best loss: 1.5735626220703125e-05
cls, target num:0, total attack num:14,best loss: 1.5735626220703125e-05
cap, target num:0, total attack num:12,best loss: 1.5735626220703125e-05
vqa, target num:0, total attack num:2,best loss: 6.389617919921875e-05
vqa_specific, target num:0, total attack num:7,best loss: 6.389617919921875e-05
cls, target num:0, total attack num:10,best loss: 6.389617919921875e-05
cap, target num:0, total attack num:10,best loss: 6.389617919921875e-05
vqa, target num:0, total attack num:2,best loss: 2.110004425048828e-05
vqa_specific, target num:0, total attack num:2,best loss: 2.110004425048828e-05
cls, target num:0, total attack num:12,best loss: 2.110004425048828e-05
cap, target num:0, total attack num:10,best loss: 2.110004425048828e-05
vqa, target num:0, total attack num:5,best loss: 0.0017862319946289062
vqa_specific, target num:0, total attack num:2,best loss: 0.0017862319946289062
cls, target num:0, total attack num:12,best loss: 0.0017862319946289062
cap, target num:0, total attack num:10,best loss: 0.0017862319946289062
vqa, target num:0, total attack num:5,best loss: 0.0002532005310058594
vqa_specific, target num:0, total attack num:7,best loss: 0.0002532005310058594
cls, target num:0, total attack num:14,best loss: 0.0002532005310058594
cap, target num:0, total attack num:18,best loss: 0.0002532005310058594
vqa, target num:0, total attack num:5,best loss: 7.605552673339844e-05
vqa_specific, target num:0, total attack num:5,best loss: 7.605552673339844e-05
cls, target num:0, total attack num:9,best loss: 7.605552673339844e-05
cap, target num:0, total attack num:7,best loss: 7.605552673339844e-05
vqa, target num:0, total attack num:8,best loss: 3.3020973205566406e-05
vqa_specific, target num:0, total attack num:6,best loss: 3.3020973205566406e-05
cls, target num:0, total attack num:8,best loss: 3.3020973205566406e-05
cap, target num:0, total attack num:8,best loss: 3.3020973205566406e-05
vqa, target num:0, total attack num:3,best loss: 8.7738037109375e-05
vqa_specific, target num:0, total attack num:7,best loss: 8.7738037109375e-05
cls, target num:0, total attack num:13,best loss: 8.7738037109375e-05
cap, target num:0, total attack num:12,best loss: 8.7738037109375e-05
vqa, target num:0, total attack num:1,best loss: 4.0650367736816406e-05
vqa_specific, target num:0, total attack num:5,best loss: 4.0650367736816406e-05
cls, target num:0, total attack num:12,best loss: 4.0650367736816406e-05
cap, target num:0, total attack num:9,best loss: 4.0650367736816406e-05
vqa, target num:0, total attack num:3,best loss: 0.0022258758544921875
