vqa, target num:0, total attack num:4,best loss: 0.0011339187622070312
vqa_specific, target num:0, total attack num:8,best loss: 0.0011339187622070312
cls, target num:0, total attack num:10,best loss: 0.0011339187622070312
cap, target num:0, total attack num:15,best loss: 0.0011339187622070312
vqa, target num:0, total attack num:6,best loss: 6.973743438720703e-05
vqa_specific, target num:0, total attack num:3,best loss: 6.973743438720703e-05
cls, target num:0, total attack num:10,best loss: 6.973743438720703e-05
cap, target num:0, total attack num:13,best loss: 6.973743438720703e-05
vqa, target num:0, total attack num:4,best loss: 0.005718231201171875
vqa_specific, target num:0, total attack num:6,best loss: 0.005718231201171875
cls, target num:0, total attack num:12,best loss: 0.005718231201171875
cap, target num:0, total attack num:16,best loss: 0.005718231201171875
vqa, target num:0, total attack num:4,best loss: 0.01361846923828125
vqa_specific, target num:0, total attack num:5,best loss: 0.01361846923828125
cls, target num:0, total attack num:16,best loss: 0.01361846923828125
cap, target num:0, total attack num:14,best loss: 0.01361846923828125
vqa, target num:0, total attack num:4,best loss: 0.0007662773132324219
vqa_specific, target num:0, total attack num:4,best loss: 0.0007662773132324219
cls, target num:0, total attack num:12,best loss: 0.0007662773132324219
cap, target num:0, total attack num:9,best loss: 0.0007662773132324219
vqa, target num:0, total attack num:1,best loss: 0.0016546249389648438
vqa_specific, target num:0, total attack num:4,best loss: 0.0016546249389648438
cls, target num:0, total attack num:12,best loss: 0.0016546249389648438
cap, target num:0, total attack num:10,best loss: 0.0016546249389648438
vqa, target num:0, total attack num:2,best loss: 0.00039696693420410156
vqa_specific, target num:0, total attack num:5,best loss: 0.00039696693420410156
cls, target num:0, total attack num:16,best loss: 0.00039696693420410156
cap, target num:0, total attack num:14,best loss: 0.00039696693420410156
vqa, target num:0, total attack num:2,best loss: 0.00019443035125732422
vqa_specific, target num:0, total attack num:6,best loss: 0.00019443035125732422
cls, target num:0, total attack num:9,best loss: 0.00019443035125732422
cap, target num:0, total attack num:11,best loss: 0.00019443035125732422
vqa, target num:0, total attack num:2,best loss: 0.0011434555053710938
vqa_specific, target num:0, total attack num:2,best loss: 0.0011434555053710938
cls, target num:0, total attack num:14,best loss: 0.0011434555053710938
cap, target num:0, total attack num:8,best loss: 0.0011434555053710938
vqa, target num:0, total attack num:2,best loss: 6.377696990966797e-05
vqa_specific, target num:0, total attack num:4,best loss: 6.377696990966797e-05
cls, target num:0, total attack num:12,best loss: 6.377696990966797e-05
cap, target num:0, total attack num:12,best loss: 6.377696990966797e-05
vqa, target num:0, total attack num:3,best loss: 7.903575897216797e-05
vqa_specific, target num:0, total attack num:7,best loss: 7.903575897216797e-05
cls, target num:0, total attack num:13,best loss: 7.903575897216797e-05
cap, target num:0, total attack num:13,best loss: 7.903575897216797e-05
vqa, target num:0, total attack num:1,best loss: 6.592273712158203e-05
vqa_specific, target num:0, total attack num:8,best loss: 6.592273712158203e-05
cls, target num:0, total attack num:11,best loss: 6.592273712158203e-05
cap, target num:0, total attack num:14,best loss: 6.592273712158203e-05
vqa, target num:0, total attack num:2,best loss: 8.785724639892578e-05
vqa_specific, target num:0, total attack num:6,best loss: 8.785724639892578e-05
cls, target num:0, total attack num:15,best loss: 8.785724639892578e-05
cap, target num:0, total attack num:13,best loss: 8.785724639892578e-05
vqa, target num:0, total attack num:3,best loss: 0.0018243789672851562
vqa_specific, target num:0, total attack num:5,best loss: 0.0018243789672851562
cls, target num:0, total attack num:15,best loss: 0.0018243789672851562
cap, target num:0, total attack num:12,best loss: 0.0018243789672851562
vqa, target num:0, total attack num:1,best loss: 0.0107421875
vqa_specific, target num:0, total attack num:3,best loss: 0.0107421875
cls, target num:0, total attack num:10,best loss: 0.0107421875
cap, target num:0, total attack num:10,best loss: 0.0107421875
vqa, target num:0, total attack num:6,best loss: 0.00042438507080078125
vqa_specific, target num:0, total attack num:4,best loss: 0.00042438507080078125
cls, target num:0, total attack num:14,best loss: 0.00042438507080078125
cap, target num:0, total attack num:10,best loss: 0.00042438507080078125
vqa, target num:0, total attack num:4,best loss: 0.0004374980926513672
vqa_specific, target num:0, total attack num:6,best loss: 0.0004374980926513672
cls, target num:0, total attack num:10,best loss: 0.0004374980926513672
cap, target num:0, total attack num:11,best loss: 0.0004374980926513672
vqa, target num:0, total attack num:5,best loss: 0.00012040138244628906
vqa_specific, target num:0, total attack num:3,best loss: 0.00012040138244628906
cls, target num:0, total attack num:12,best loss: 0.00012040138244628906
cap, target num:0, total attack num:8,best loss: 0.00012040138244628906
vqa, target num:0, total attack num:3,best loss: 0.11383056640625
vqa_specific, target num:0, total attack num:1,best loss: 0.11383056640625
cls, target num:0, total attack num:10,best loss: 0.11383056640625
cap, target num:0, total attack num:10,best loss: 0.11383056640625
vqa, target num:0, total attack num:8,best loss: 0.002460479736328125
vqa_specific, target num:0, total attack num:7,best loss: 0.002460479736328125
cls, target num:0, total attack num:14,best loss: 0.002460479736328125
cap, target num:0, total attack num:17,best loss: 0.002460479736328125
vqa, target num:0, total attack num:3,best loss: 0.0007772445678710938
vqa_specific, target num:0, total attack num:3,best loss: 0.0007772445678710938
cls, target num:0, total attack num:9,best loss: 0.0007772445678710938
cap, target num:0, total attack num:8,best loss: 0.0007772445678710938
vqa, target num:0, total attack num:5,best loss: 0.0002200603485107422
vqa_specific, target num:0, total attack num:6,best loss: 0.0002200603485107422
cls, target num:0, total attack num:8,best loss: 0.0002200603485107422
cap, target num:0, total attack num:7,best loss: 0.0002200603485107422
vqa, target num:0, total attack num:3,best loss: 0.0007309913635253906
vqa_specific, target num:0, total attack num:4,best loss: 0.0007309913635253906
cls, target num:0, total attack num:14,best loss: 0.0007309913635253906
cap, target num:0, total attack num:12,best loss: 0.0007309913635253906
vqa, target num:0, total attack num:0,best loss: 0.00019609928131103516
vqa_specific, target num:0, total attack num:4,best loss: 0.00019609928131103516
cls, target num:0, total attack num:11,best loss: 0.00019609928131103516
cap, target num:0, total attack num:9,best loss: 0.00019609928131103516
vqa, target num:0, total attack num:3,best loss: 0.03057861328125
vqa_specific, target num:0, total attack num:5,best loss: 0.03057861328125
cls, target num:0, total attack num:11,best loss: 0.03057861328125
cap, target num:0, total attack num:14,best loss: 0.03057861328125
vqa, target num:0, total attack num:4,best loss: 0.0006680488586425781
vqa_specific, target num:0, total attack num:6,best loss: 0.0006680488586425781
cls, target num:0, total attack num:15,best loss: 0.0006680488586425781
cap, target num:0, total attack num:13,best loss: 0.0006680488586425781
vqa, target num:0, total attack num:4,best loss: 0.00015056133270263672
vqa_specific, target num:0, total attack num:8,best loss: 0.00015056133270263672
cls, target num:0, total attack num:10,best loss: 0.00015056133270263672
cap, target num:0, total attack num:10,best loss: 0.00015056133270263672
vqa, target num:0, total attack num:1,best loss: 4.5418739318847656e-05
vqa_specific, target num:0, total attack num:2,best loss: 4.5418739318847656e-05
cls, target num:0, total attack num:14,best loss: 4.5418739318847656e-05
cap, target num:0, total attack num:11,best loss: 4.5418739318847656e-05
vqa, target num:0, total attack num:5,best loss: 0.0008792877197265625
vqa_specific, target num:0, total attack num:7,best loss: 0.0008792877197265625
cls, target num:0, total attack num:13,best loss: 0.0008792877197265625
cap, target num:0, total attack num:12,best loss: 0.0008792877197265625
vqa, target num:0, total attack num:7,best loss: 0.00010120868682861328
vqa_specific, target num:0, total attack num:5,best loss: 0.00010120868682861328
cls, target num:0, total attack num:15,best loss: 0.00010120868682861328
cap, target num:0, total attack num:12,best loss: 0.00010120868682861328
vqa, target num:0, total attack num:3,best loss: 0.00024962425231933594
vqa_specific, target num:0, total attack num:4,best loss: 0.00024962425231933594
cls, target num:0, total attack num:15,best loss: 0.00024962425231933594
cap, target num:0, total attack num:11,best loss: 0.00024962425231933594
vqa, target num:0, total attack num:5,best loss: 0.0015783309936523438
vqa_specific, target num:0, total attack num:2,best loss: 0.0015783309936523438
cls, target num:0, total attack num:14,best loss: 0.0015783309936523438
cap, target num:0, total attack num:13,best loss: 0.0015783309936523438
vqa, target num:0, total attack num:3,best loss: 0.00022840499877929688
vqa_specific, target num:0, total attack num:8,best loss: 0.00022840499877929688
cls, target num:0, total attack num:15,best loss: 0.00022840499877929688
cap, target num:0, total attack num:13,best loss: 0.00022840499877929688
vqa, target num:0, total attack num:0,best loss: 0.003559112548828125
vqa_specific, target num:0, total attack num:5,best loss: 0.003559112548828125
cls, target num:0, total attack num:14,best loss: 0.003559112548828125
cap, target num:0, total attack num:10,best loss: 0.003559112548828125
vqa, target num:0, total attack num:1,best loss: 0.0019588470458984375
vqa_specific, target num:0, total attack num:6,best loss: 0.0019588470458984375
cls, target num:0, total attack num:12,best loss: 0.0019588470458984375
cap, target num:0, total attack num:12,best loss: 0.0019588470458984375
vqa, target num:0, total attack num:5,best loss: 0.00020635128021240234
vqa_specific, target num:0, total attack num:6,best loss: 0.00020635128021240234
cls, target num:0, total attack num:13,best loss: 0.00020635128021240234
cap, target num:0, total attack num:16,best loss: 0.00020635128021240234
vqa, target num:0, total attack num:3,best loss: 0.0012502670288085938
vqa_specific, target num:0, total attack num:5,best loss: 0.0012502670288085938
cls, target num:0, total attack num:11,best loss: 0.0012502670288085938
cap, target num:0, total attack num:14,best loss: 0.0012502670288085938
vqa, target num:0, total attack num:3,best loss: 0.0010824203491210938
vqa_specific, target num:0, total attack num:4,best loss: 0.0010824203491210938
cls, target num:0, total attack num:10,best loss: 0.0010824203491210938
cap, target num:0, total attack num:11,best loss: 0.0010824203491210938
vqa, target num:0, total attack num:2,best loss: 0.00047969818115234375
vqa_specific, target num:0, total attack num:1,best loss: 0.00047969818115234375
cls, target num:0, total attack num:11,best loss: 0.00047969818115234375
cap, target num:0, total attack num:13,best loss: 0.00047969818115234375
vqa, target num:0, total attack num:5,best loss: 6.639957427978516e-05
vqa_specific, target num:0, total attack num:5,best loss: 6.639957427978516e-05
cls, target num:0, total attack num:15,best loss: 6.639957427978516e-05
cap, target num:0, total attack num:11,best loss: 6.639957427978516e-05
vqa, target num:0, total attack num:4,best loss: 0.000789642333984375
vqa_specific, target num:0, total attack num:4,best loss: 0.000789642333984375
cls, target num:0, total attack num:16,best loss: 0.000789642333984375
cap, target num:0, total attack num:14,best loss: 0.000789642333984375
vqa, target num:0, total attack num:4,best loss: 0.00013816356658935547
vqa_specific, target num:0, total attack num:4,best loss: 0.00013816356658935547
cls, target num:0, total attack num:12,best loss: 0.00013816356658935547
cap, target num:0, total attack num:10,best loss: 0.00013816356658935547
vqa, target num:0, total attack num:3,best loss: 0.0028324127197265625
vqa_specific, target num:0, total attack num:6,best loss: 0.0028324127197265625
cls, target num:0, total attack num:14,best loss: 0.0028324127197265625
cap, target num:0, total attack num:14,best loss: 0.0028324127197265625
vqa, target num:0, total attack num:3,best loss: 0.0004432201385498047
vqa_specific, target num:0, total attack num:5,best loss: 0.0004432201385498047
cls, target num:0, total attack num:9,best loss: 0.0004432201385498047
cap, target num:0, total attack num:12,best loss: 0.0004432201385498047
vqa, target num:0, total attack num:5,best loss: 0.0036716461181640625
vqa_specific, target num:0, total attack num:4,best loss: 0.0036716461181640625
cls, target num:0, total attack num:11,best loss: 0.0036716461181640625
cap, target num:0, total attack num:13,best loss: 0.0036716461181640625
vqa, target num:0, total attack num:2,best loss: 0.00228118896484375
vqa_specific, target num:0, total attack num:4,best loss: 0.00228118896484375
cls, target num:0, total attack num:7,best loss: 0.00228118896484375
cap, target num:0, total attack num:8,best loss: 0.00228118896484375
vqa, target num:0, total attack num:5,best loss: 0.00020122528076171875
vqa_specific, target num:0, total attack num:8,best loss: 0.00020122528076171875
cls, target num:0, total attack num:6,best loss: 0.00020122528076171875
cap, target num:0, total attack num:10,best loss: 0.00020122528076171875
vqa, target num:0, total attack num:4,best loss: 0.00011551380157470703
vqa_specific, target num:0, total attack num:2,best loss: 0.00011551380157470703
cls, target num:0, total attack num:17,best loss: 0.00011551380157470703
cap, target num:0, total attack num:14,best loss: 0.00011551380157470703
vqa, target num:0, total attack num:6,best loss: 0.00049591064453125
vqa_specific, target num:0, total attack num:5,best loss: 0.00049591064453125
