vqa_specific, target num:0, total attack num:7,best loss: 0.0002999305725097656
cls, target num:0, total attack num:15,best loss: 0.0002999305725097656
cap, target num:0, total attack num:14,best loss: 0.0002999305725097656
vqa, target num:0, total attack num:3,best loss: 0.0001062154769897461
vqa_specific, target num:0, total attack num:8,best loss: 0.0001062154769897461
cls, target num:0, total attack num:10,best loss: 0.0001062154769897461
cap, target num:0, total attack num:11,best loss: 0.0001062154769897461
vqa, target num:0, total attack num:5,best loss: 4.5418739318847656e-05
vqa_specific, target num:0, total attack num:2,best loss: 4.5418739318847656e-05
cls, target num:0, total attack num:14,best loss: 4.5418739318847656e-05
cap, target num:0, total attack num:11,best loss: 4.5418739318847656e-05
vqa, target num:0, total attack num:2,best loss: 0.0002307891845703125
vqa_specific, target num:0, total attack num:7,best loss: 0.0002307891845703125
cls, target num:0, total attack num:12,best loss: 0.0002307891845703125
cap, target num:0, total attack num:11,best loss: 0.0002307891845703125
vqa, target num:0, total attack num:2,best loss: 3.147125244140625e-05
vqa_specific, target num:0, total attack num:4,best loss: 3.147125244140625e-05
cls, target num:0, total attack num:15,best loss: 3.147125244140625e-05
cap, target num:0, total attack num:12,best loss: 3.147125244140625e-05
vqa, target num:0, total attack num:3,best loss: 9.489059448242188e-05
vqa_specific, target num:0, total attack num:4,best loss: 9.489059448242188e-05
cls, target num:0, total attack num:15,best loss: 9.489059448242188e-05
cap, target num:0, total attack num:12,best loss: 9.489059448242188e-05
vqa, target num:0, total attack num:4,best loss: 0.00024175643920898438
vqa_specific, target num:0, total attack num:2,best loss: 0.00024175643920898438
cls, target num:0, total attack num:14,best loss: 0.00024175643920898438
cap, target num:0, total attack num:13,best loss: 0.00024175643920898438
vqa, target num:0, total attack num:3,best loss: 6.878376007080078e-05
vqa_specific, target num:0, total attack num:8,best loss: 6.878376007080078e-05
cls, target num:0, total attack num:16,best loss: 6.878376007080078e-05
cap, target num:0, total attack num:12,best loss: 6.878376007080078e-05
vqa, target num:0, total attack num:6,best loss: 0.00044846534729003906
vqa_specific, target num:0, total attack num:4,best loss: 0.00044846534729003906
cls, target num:0, total attack num:14,best loss: 0.00044846534729003906
cap, target num:0, total attack num:10,best loss: 0.00044846534729003906
vqa, target num:0, total attack num:4,best loss: 0.0005092620849609375
vqa_specific, target num:0, total attack num:6,best loss: 0.0005092620849609375
cls, target num:0, total attack num:12,best loss: 0.0005092620849609375
cap, target num:0, total attack num:13,best loss: 0.0005092620849609375
