cls, target num:0, total attack num:13,best loss: 0.0013284683227539062
cap, target num:0, total attack num:14,best loss: 0.0013284683227539062
vqa, target num:0, total attack num:5,best loss: 5.030632019042969e-05
vqa_specific, target num:0, total attack num:5,best loss: 5.030632019042969e-05
cls, target num:0, total attack num:15,best loss: 5.030632019042969e-05
cap, target num:0, total attack num:12,best loss: 5.030632019042969e-05
vqa, target num:0, total attack num:1,best loss: 4.112720489501953e-05
vqa_specific, target num:0, total attack num:8,best loss: 4.112720489501953e-05
cls, target num:0, total attack num:7,best loss: 4.112720489501953e-05
cap, target num:0, total attack num:10,best loss: 4.112720489501953e-05
vqa, target num:0, total attack num:2,best loss: 2.7060508728027344e-05
vqa_specific, target num:0, total attack num:2,best loss: 2.7060508728027344e-05
cls, target num:0, total attack num:14,best loss: 2.7060508728027344e-05
cap, target num:0, total attack num:11,best loss: 2.7060508728027344e-05
vqa, target num:0, total attack num:4,best loss: 2.8371810913085938e-05
vqa_specific, target num:0, total attack num:6,best loss: 2.8371810913085938e-05
cls, target num:0, total attack num:12,best loss: 2.8371810913085938e-05
cap, target num:0, total attack num:13,best loss: 2.8371810913085938e-05
vqa, target num:0, total attack num:4,best loss: 1.3470649719238281e-05
vqa_specific, target num:0, total attack num:4,best loss: 1.3470649719238281e-05
cls, target num:0, total attack num:18,best loss: 1.3470649719238281e-05
cap, target num:0, total attack num:12,best loss: 1.3470649719238281e-05
vqa, target num:0, total attack num:3,best loss: 2.47955322265625e-05
vqa_specific, target num:0, total attack num:4,best loss: 2.47955322265625e-05
cls, target num:0, total attack num:14,best loss: 2.47955322265625e-05
cap, target num:0, total attack num:12,best loss: 2.47955322265625e-05
vqa, target num:0, total attack num:1,best loss: 5.805492401123047e-05
vqa_specific, target num:0, total attack num:1,best loss: 5.805492401123047e-05
cls, target num:0, total attack num:14,best loss: 5.805492401123047e-05
cap, target num:0, total attack num:11,best loss: 5.805492401123047e-05
vqa, target num:0, total attack num:4,best loss: 2.467632293701172e-05
vqa_specific, target num:0, total attack num:8,best loss: 2.467632293701172e-05
cls, target num:0, total attack num:15,best loss: 2.467632293701172e-05
cap, target num:0, total attack num:12,best loss: 2.467632293701172e-05
vqa, target num:0, total attack num:0,best loss: 7.665157318115234e-05
vqa_specific, target num:0, total attack num:3,best loss: 7.665157318115234e-05
cls, target num:0, total attack num:13,best loss: 7.665157318115234e-05
cap, target num:0, total attack num:9,best loss: 7.665157318115234e-05
vqa, target num:0, total attack num:2,best loss: 5.161762237548828e-05
vqa_specific, target num:0, total attack num:5,best loss: 5.161762237548828e-05
cls, target num:0, total attack num:12,best loss: 5.161762237548828e-05
cap, target num:0, total attack num:12,best loss: 5.161762237548828e-05
vqa, target num:0, total attack num:5,best loss: 3.337860107421875e-05
vqa_specific, target num:0, total attack num:6,best loss: 3.337860107421875e-05
cls, target num:0, total attack num:14,best loss: 3.337860107421875e-05
cap, target num:0, total attack num:16,best loss: 3.337860107421875e-05
vqa, target num:0, total attack num:4,best loss: 3.838539123535156e-05
vqa_specific, target num:0, total attack num:5,best loss: 3.838539123535156e-05
cls, target num:0, total attack num:11,best loss: 3.838539123535156e-05
cap, target num:0, total attack num:14,best loss: 3.838539123535156e-05
vqa, target num:0, total attack num:4,best loss: 2.2530555725097656e-05
vqa_specific, target num:0, total attack num:5,best loss: 2.2530555725097656e-05
cls, target num:0, total attack num:10,best loss: 2.2530555725097656e-05
cap, target num:0, total attack num:11,best loss: 2.2530555725097656e-05
vqa, target num:0, total attack num:2,best loss: 2.1696090698242188e-05
vqa_specific, target num:0, total attack num:0,best loss: 2.1696090698242188e-05
cls, target num:0, total attack num:10,best loss: 2.1696090698242188e-05
cap, target num:0, total attack num:13,best loss: 2.1696090698242188e-05
vqa, target num:0, total attack num:4,best loss: 1.895427703857422e-05
vqa_specific, target num:0, total attack num:5,best loss: 1.895427703857422e-05
cls, target num:0, total attack num:15,best loss: 1.895427703857422e-05
cap, target num:0, total attack num:11,best loss: 1.895427703857422e-05
vqa, target num:0, total attack num:3,best loss: 3.814697265625e-05
vqa_specific, target num:0, total attack num:5,best loss: 3.814697265625e-05
cls, target num:0, total attack num:15,best loss: 3.814697265625e-05
cap, target num:0, total attack num:13,best loss: 3.814697265625e-05
vqa, target num:0, total attack num:3,best loss: 3.135204315185547e-05
vqa_specific, target num:0, total attack num:3,best loss: 3.135204315185547e-05
cls, target num:0, total attack num:9,best loss: 3.135204315185547e-05
cap, target num:0, total attack num:9,best loss: 3.135204315185547e-05
vqa, target num:0, total attack num:3,best loss: 8.618831634521484e-05
vqa_specific, target num:0, total attack num:5,best loss: 8.618831634521484e-05
cls, target num:0, total attack num:15,best loss: 8.618831634521484e-05
cap, target num:0, total attack num:12,best loss: 8.618831634521484e-05
vqa, target num:0, total attack num:2,best loss: 3.790855407714844e-05
vqa_specific, target num:0, total attack num:5,best loss: 3.790855407714844e-05
cls, target num:0, total attack num:9,best loss: 3.790855407714844e-05
cap, target num:0, total attack num:12,best loss: 3.790855407714844e-05
vqa, target num:0, total attack num:2,best loss: 3.647804260253906e-05
vqa_specific, target num:0, total attack num:4,best loss: 3.647804260253906e-05
cls, target num:0, total attack num:11,best loss: 3.647804260253906e-05
cap, target num:0, total attack num:13,best loss: 3.647804260253906e-05
vqa, target num:0, total attack num:5,best loss: 8.26120376586914e-05
vqa_specific, target num:0, total attack num:4,best loss: 8.26120376586914e-05
cls, target num:0, total attack num:6,best loss: 8.26120376586914e-05
cap, target num:0, total attack num:10,best loss: 8.26120376586914e-05
vqa, target num:0, total attack num:6,best loss: 2.0503997802734375e-05
vqa_specific, target num:0, total attack num:8,best loss: 2.0503997802734375e-05
cls, target num:0, total attack num:7,best loss: 2.0503997802734375e-05
cap, target num:0, total attack num:10,best loss: 2.0503997802734375e-05
vqa, target num:0, total attack num:6,best loss: 3.743171691894531e-05
vqa_specific, target num:0, total attack num:2,best loss: 3.743171691894531e-05
cls, target num:0, total attack num:17,best loss: 3.743171691894531e-05
cap, target num:0, total attack num:14,best loss: 3.743171691894531e-05
vqa, target num:0, total attack num:6,best loss: 3.612041473388672e-05
vqa_specific, target num:0, total attack num:4,best loss: 3.612041473388672e-05
cls, target num:0, total attack num:7,best loss: 3.612041473388672e-05
cap, target num:0, total attack num:6,best loss: 3.612041473388672e-05
vqa, target num:0, total attack num:1,best loss: 3.7789344787597656e-05
vqa_specific, target num:0, total attack num:7,best loss: 3.7789344787597656e-05
cls, target num:0, total attack num:11,best loss: 3.7789344787597656e-05
cap, target num:0, total attack num:10,best loss: 3.7789344787597656e-05
